iter	Logloss
0	0.6574618847
1	0.6238933663
2	0.5995024956
3	0.5749259638
4	0.5524640584
5	0.5340672137
6	0.5183296035
7	0.506502171
8	0.4930148376
9	0.4819896898
10	0.4713694057
11	0.462689305
12	0.4545514736
13	0.4483998141
14	0.4419182933
15	0.4373806563
16	0.4324013393
17	0.4281290022
18	0.4237912736
19	0.4206275505
20	0.4177910884
21	0.4148548603
22	0.4114265944
23	0.408982377
24	0.4066855768
25	0.404138414
26	0.4026343817
27	0.4006553885
28	0.3991787318
29	0.3977511845
30	0.3960865159
31	0.3946751455
32	0.3933118293
33	0.3918876339
34	0.3911054564
35	0.3899311146
36	0.3892312589
37	0.3880157315
38	0.3871415191
39	0.386293564
40	0.3852577309
41	0.3844500565
42	0.3837665568
43	0.3826925533
44	0.3817471631
45	0.380962009
46	0.3802589553
47	0.3794527377
48	0.378680879
49	0.3778455278
50	0.376969763
51	0.3765255275
52	0.3758067501
53	0.3753135637
54	0.3749795689
55	0.3742379443
56	0.3738640915
57	0.3734585987
58	0.3731799283
59	0.3725922751
60	0.3720616522
61	0.3715318065
62	0.3708516815
63	0.3702227012
64	0.3695791689
65	0.3690389284
66	0.3685596043
67	0.3680961672
68	0.3675736564
69	0.3671435646
70	0.3668513434
71	0.3664590527
72	0.3658540771
73	0.3656521347
74	0.3653569456
75	0.3648590228
76	0.3643691457
77	0.3639258708
78	0.3636524439
79	0.3633593341
80	0.3628837724
81	0.362481579
82	0.361959582
83	0.3616801481
84	0.3612473353
85	0.3606251354
86	0.3601392171
87	0.3597691886
88	0.359474241
89	0.3589561511
90	0.3585805071
91	0.3581155165
92	0.3576190285
93	0.3572212043
94	0.3567881038
95	0.3562410951
96	0.3558890396
97	0.3555638615
98	0.3550290513
99	0.3548367251
100	0.3544122946
101	0.354182298
102	0.353889612
103	0.3534551907
104	0.3531324173
105	0.3528241901
106	0.3524596445
107	0.3521098616
108	0.3516000197
109	0.3511909813
110	0.3509529941
111	0.3507175857
112	0.350297906
113	0.3499328342
114	0.3495444825
115	0.3492027724
116	0.3488869989
117	0.3483027493
118	0.3479845974
119	0.3474520288
120	0.3472199965
121	0.346898681
122	0.3466344392
123	0.346286852
124	0.3460729008
125	0.3458358225
126	0.3455599078
127	0.3449844105
128	0.3447369634
129	0.3443391169
130	0.3441919019
131	0.3439097621
132	0.3435095797
133	0.3431246919
134	0.3428642655
135	0.3424469459
136	0.3421397125
137	0.3418899633
138	0.3413957713
139	0.3410727953
140	0.3408157964
141	0.3404650067
142	0.3402975208
143	0.3398644796
144	0.3395764247
145	0.3393209815
146	0.3387818022
147	0.3384062875
148	0.3380698132
149	0.3377214768
150	0.3373659293
151	0.3371279152
152	0.336644702
153	0.3362705984
154	0.3360722252
155	0.3356766478
156	0.3355195739
157	0.3352727279
158	0.3350461225
159	0.3346840489
160	0.3342670218
161	0.3338491454
162	0.3337446739
163	0.3334853616
164	0.3330576488
165	0.3328240788
166	0.3323597527
167	0.3319875601
168	0.3315079774
169	0.3313204249
170	0.3310848025
171	0.3308695946
172	0.3305799262
173	0.3304383785
174	0.3301059167
175	0.329870952
176	0.3295563672
177	0.3293181249
178	0.3290337215
179	0.3286588923
180	0.3282012131
181	0.3277351181
182	0.327525765
183	0.327298601
184	0.3269959777
185	0.3267658842
186	0.3264758659
187	0.3261664065
188	0.3256513664
189	0.3254316553
190	0.3251846149
191	0.3248889917
192	0.3245471655
193	0.3241076908
194	0.3238148829
195	0.3236256884
196	0.3233738293
197	0.3230862752
198	0.3226742791
199	0.3222537077
200	0.3219569969
201	0.3216100178
202	0.3212267054
203	0.3209862448
204	0.3205475213
205	0.3202414629
206	0.3199778216
207	0.3193981723
208	0.3189911334
209	0.3185454513
210	0.3181988649
211	0.3177805972
212	0.3174091366
213	0.3171956274
214	0.3170078909
215	0.3167890386
216	0.3165409357
217	0.3162629084
218	0.3160178567
219	0.3157599054
220	0.3155845823
221	0.3153609923
222	0.3150316594
223	0.3148483519
224	0.3146017909
225	0.3143553048
226	0.3140758852
227	0.3137683746
228	0.3135368289
229	0.3130749533
230	0.3128554196
231	0.3126938023
232	0.3124509011
233	0.3121184121
234	0.3116956727
235	0.3114523226
236	0.3109627732
237	0.3106609524
238	0.31052369
239	0.3102691578
240	0.3099928779
241	0.3096930868
242	0.309355843
243	0.3090400146
244	0.3087069629
245	0.3084054901
246	0.3081564457
247	0.3079299826
248	0.3077390417
249	0.3075585372
250	0.3072572838
251	0.3069602277
252	0.3067238873
253	0.3064874941
254	0.3062894688
255	0.306088115
256	0.3058238743
257	0.3055302137
258	0.3050454795
259	0.3047937416
260	0.3045374835
261	0.3041599851
262	0.3040105728
263	0.3037506039
264	0.3035979834
265	0.3033223563
266	0.302951446
267	0.3027457797
268	0.3023813197
269	0.3019732419
270	0.3015325365
271	0.3012783206
272	0.3010124365
273	0.3006983117
274	0.3004203729
275	0.3002048758
276	0.2999778153
277	0.2997847924
278	0.2993796665
279	0.2990172547
280	0.2988799628
281	0.29862163
282	0.298366531
283	0.2981255484
284	0.2978747829
285	0.2975150514
286	0.2971325532
287	0.2968878058
288	0.2966334677
289	0.2963654853
290	0.296225914
291	0.295917113
292	0.2956811559
293	0.2954690898
294	0.2952512015
295	0.2949035319
296	0.2945424974
297	0.294308005
298	0.294069994
299	0.2938052518
300	0.2934031243
301	0.2931511273
302	0.2928863836
303	0.292647642
304	0.2922806053
305	0.2920697972
306	0.2916814321
307	0.2913897141
308	0.2911794498
309	0.2909928669
310	0.2906560356
311	0.2902668196
312	0.2898814428
313	0.289678218
314	0.2892557156
315	0.2890798879
316	0.2888524501
317	0.2885488913
318	0.2883905871
319	0.2882121005
320	0.2879617798
321	0.2877143552
322	0.287530905
323	0.2872766083
324	0.2871237178
325	0.2869535853
326	0.2866909384
327	0.2864619253
328	0.2860627947
329	0.2859102304
330	0.2857975069
331	0.28552595
332	0.2853994906
333	0.2850288898
334	0.284826229
335	0.2846914159
336	0.2845295238
337	0.2843478114
338	0.2840346045
339	0.2838126071
340	0.2835577804
341	0.2833528956
342	0.2831512774
343	0.2828897238
344	0.2826875138
345	0.2824775282
346	0.282359564
347	0.2819572813
348	0.2816196453
349	0.2815329493
350	0.2813589351
351	0.2809586212
352	0.2807575141
353	0.2803893531
354	0.2800024155
355	0.2798424516
356	0.2796188678
357	0.2794394406
358	0.2792707397
359	0.2790622591
360	0.2786649904
361	0.2785296939
362	0.2782137861
363	0.2779558988
364	0.2777635901
365	0.2775347401
366	0.2773425567
367	0.2769539707
368	0.2766832696
369	0.2764788675
370	0.2763250912
371	0.2759623245
372	0.2757419587
373	0.275433026
374	0.2750270224
375	0.2748170121
376	0.2745945505
377	0.2742998842
378	0.2739921379
379	0.2738092177
380	0.2736424309
381	0.2735139619
382	0.2733517432
383	0.2730858638
384	0.2729503374
385	0.2727164453
386	0.2725130027
387	0.2723774469
388	0.2722860971
389	0.2720525639
390	0.2716286727
391	0.2713403449
392	0.2711490788
393	0.2709052545
394	0.2706763933
395	0.2704707642
396	0.2701770832
397	0.2699912205
398	0.2697953626
399	0.2693258446
