customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,CustomerLifetimeValue,ServiceCount,IsFamilyCustomer,IsDigitalCustomer,ContractRiskScore,TenureBucket,cluster,segment
C1000000,Male,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,67.8,4205.07,No,66.75,4271.4,5,1,0,1,49m+,3,Budget Customers
C1000001,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.35,299.03,No,19.94,335.25,1,1,1,3,7-24m,0,Budget Customers
C1000002,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),54.46,3138.87,No,55.07,3104.22,3,1,0,1,49m+,3,Budget Customers
C1000003,Male,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,50.75,1388.87,No,51.44,1370.25,3,1,0,2,25-48m,2,Budget Customers
C1000004,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.92,611.07,No,87.3,594.44,6,1,1,3,7-24m,1,High-Risk Customers
C1000005,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.85,2859.89,No,81.71,2899.75,5,0,1,1,25-48m,3,Budget Customers
C1000006,Male,0,No,No,34,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),51.42,1732.76,No,50.96,1748.28,2,0,0,2,25-48m,0,Budget Customers
C1000007,Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.51,3184.0,Yes,88.44,3150.36,4,1,1,1,25-48m,3,Budget Customers
C1000008,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.89,5034.15,No,81.2,5077.18,5,1,0,3,49m+,4,Loyal Premium Customers
C1000009,Male,0,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,338.51,No,16.93,360.0,2,1,1,2,7-24m,0,Budget Customers
C1000010,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,66.28,3003.72,No,65.3,3048.88,1,0,1,3,25-48m,4,Loyal Premium Customers
C1000011,Female,0,No,Yes,14,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),68.21,972.97,No,69.5,954.94,4,1,0,2,7-24m,2,Budget Customers
C1000012,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.18,1526.86,No,23.86,1547.52,2,1,0,2,49m+,0,Budget Customers
C1000013,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),66.32,2225.85,No,67.45,2188.56,1,1,1,2,25-48m,2,Budget Customers
C1000014,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,72.59,4214.8,No,72.67,4210.22,2,1,0,1,49m+,3,Budget Customers
C1000015,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,50.25,966.53,No,50.87,954.75,3,0,1,3,7-24m,1,High-Risk Customers
C1000016,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,83.7,1856.25,No,84.38,1841.4,3,1,0,2,7-24m,2,Budget Customers
C1000017,Male,0,No,No,71,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.82,4292.26,No,60.45,4247.22,4,0,1,3,49m+,4,Loyal Premium Customers
C1000018,Female,1,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),79.37,1130.65,No,80.76,1111.18,5,1,1,2,7-24m,2,Budget Customers
C1000019,Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.76,2064.57,No,51.61,2030.4,3,1,0,3,25-48m,1,High-Risk Customers
C1000020,Female,1,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.59,1628.14,Yes,70.79,1646.57,2,0,0,3,7-24m,1,High-Risk Customers
C1000021,Male,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,64.3,1779.34,No,63.55,1800.4,4,0,0,3,25-48m,1,High-Risk Customers
C1000022,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),72.48,3578.64,No,71.57,3624.0,2,0,0,3,49m+,4,Loyal Premium Customers
