customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1000000,Male,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,67.8,4205.07,No
C1000001,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.35,299.03,No
C1000002,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),54.46,3138.87,No
C1000003,Male,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,50.75,1388.87,No
C1000004,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.92,611.07,No
C1000005,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),82.85,2859.89,No
C1000006,Male,0,No,No,34,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),51.42,1732.76,No
C1000007,Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.51,3184.0,Yes
C1000008,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),81.89,5034.15,No
C1000009,Male,0,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,338.51,No
C1000010,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,66.28,3003.72,No
C1000011,Female,0,No,Yes,14,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),68.21,972.97,No
C1000012,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.18,1526.86,No
C1000013,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),66.32,2225.85,No
C1000014,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,72.59,4214.8,No
C1000015,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,50.25,966.53,No
C1000016,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,83.7,1856.25,No
C1000017,Male,0,No,No,71,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.82,4292.26,No
C1000018,Female,1,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),79.37,1130.65,No
C1000019,Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.76,2064.57,No
C1000020,Female,1,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.59,1628.14,Yes
C1000021,Male,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,64.3,1779.34,No
C1000022,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),72.48,3578.64,No
C1000023,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,77.65,4441.72,No
C1000024,Female,0,No,Yes,35,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,76.49,2664.82,No
C1000025,Female,1,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.52,1262.4,No
C1000026,Male,0,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.03,213.67,No
C1000027,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.17,1496.32,Yes
C1000028,Female,1,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,83.1,4470.36,No
C1000029,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,874.0,No
C1000030,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.65,31.35,Yes
C1000031,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,66.92,4385.92,No
C1000032,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.91,539.69,No
C1000033,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,62.36,1339.23,No
C1000034,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,613.96,No
C1000035,Male,1,No,No,28,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.28,2601.59,No
C1000036,Female,0,No,Yes,36,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.94,1996.23,No
C1000037,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,90.19,952.78,No
C1000038,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,58.24,492.22,No
C1000039,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.96,1694.09,No
C1000040,Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.57,1273.18,No
C1000041,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,82.85,2172.15,No
C1000042,Female,1,No,Yes,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.62,4537.98,Yes
C1000043,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.99,1216.37,No
C1000044,Male,1,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.79,991.14,No
C1000045,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,80.36,4169.89,No
C1000046,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.04,4858.57,No
C1000047,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),85.36,5057.49,No
C1000048,Female,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),73.03,1379.94,Yes
C1000049,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.04,915.01,No
C1000050,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,66.79,716.02,No
C1000051,Male,0,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,61.92,2218.67,No
C1000052,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,50.23,265.36,No
C1000053,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),83.47,994.47,No
C1000054,Male,0,No,Yes,52,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),93.2,4864.59,No
C1000055,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,451.12,No
C1000056,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.41,296.19,Yes
C1000057,Male,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.19,4345.81,No
C1000058,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),52.69,3526.77,No
C1000059,Female,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.03,1068.03,No
C1000060,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.24,853.78,No
C1000061,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.3,398.85,No
C1000062,Male,1,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,59.64,3457.83,No
C1000063,Female,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),62.8,3160.56,No
C1000064,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,531.37,No
C1000065,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),87.68,5912.86,No
C1000066,Female,0,Yes,No,53,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),72.83,3880.27,No
C1000067,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,64.5,698.64,Yes
C1000068,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,57.71,1831.87,Yes
C1000069,Male,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,48.55,2897.96,No
C1000070,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.88,3204.48,No
C1000071,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.45,449.33,Yes
C1000072,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,88.32,4943.03,No
C1000073,Male,1,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,85.71,3006.4,No
C1000074,Female,1,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),61.89,1077.54,Yes
C1000075,Male,1,No,No,59,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),56.31,3328.18,No
C1000076,Male,1,No,No,64,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,65.02,4120.58,No
C1000077,Male,0,No,No,42,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.01,2515.89,No
C1000078,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,956.71,No
C1000079,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,65.26,1165.46,No
C1000080,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,48.56,2620.44,No
C1000081,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.39,1278.13,No
C1000082,Male,1,No,Yes,17,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.05,1169.28,No
C1000083,Female,0,Yes,Yes,68,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,51.07,3479.79,No
C1000084,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),55.4,308.7,No
C1000085,Female,0,No,No,32,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,68.76,2228.85,No
C1000086,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,67.43,344.54,No
C1000087,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),68.59,2263.33,No
C1000088,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,82.09,3856.31,No
C1000089,Female,0,Yes,No,63,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,65.71,4164.0,No
C1000090,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.82,205.08,No
C1000091,Female,1,No,No,64,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.79,2939.38,Yes
C1000092,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),74.72,5397.35,No
C1000093,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,65.92,318.72,No
C1000094,Female,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,55.58,3879.12,No
C1000095,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.01,4872.07,No
C1000096,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),53.82,108.5,No
C1000097,Female,1,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),58.28,181.17,No
C1000098,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,79.55,4162.13,No
C1000099,Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,538.24,No
C1000100,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,79.74,1528.67,No
C1000101,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,47.69,1368.77,No
C1000102,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,64.92,1554.91,No
C1000103,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,73.53,5239.43,No
C1000104,Female,1,Yes,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,55.15,951.59,Yes
